Entity Name,Entity ID,Fiscal Year,Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Secured and Unsecured Property Taxes_General Revenues_Taxes,Secured and Unsecured Property Taxes_Total Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_General Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Total Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Functional Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_General Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Total Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Property Taxes – Prior_Functional Revenues_Taxes,Property Taxes – Prior_General Revenues_Taxes,Property Taxes – Prior_Total Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Functional Revenues_Taxes,Supplemental Roll Property Taxes – Prior_General Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Total Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Functional Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_General Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Total Revenues_Taxes,Residual Property Taxes (ABX1 26)_Functional Revenues_Taxes,Residual Property Taxes (ABX1 26)_General Revenues_Taxes,Residual Property Taxes (ABX1 26)_Total Revenues_Taxes,Parcel Tax_Functional Revenues_Taxes,Parcel Tax_General Revenues_Taxes,Parcel Tax_Total Revenues_Taxes,Other Property Taxes_Functional Revenues_Taxes,Other Property Taxes_General Revenues_Taxes,Other Property Taxes_Total Revenues_Taxes,"Interest, Penalties, and Delinquent Taxes_Functional Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_General Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_Total Revenues_Taxes",Sales and Use Taxes_Functional Revenues_Taxes,Sales and Use Taxes_General Revenues_Taxes,Sales and Use Taxes_Total Revenues_Taxes,Transportation Taxes – Transit_Functional Revenues_Taxes,Transportation Taxes – Transit_Total Revenues_Taxes,Transportation Taxes – Nontransit_Functional Revenues_Taxes,Transportation Taxes – Nontransit_Total Revenues_Taxes,Transient Occupancy Taxes_Functional Revenues_Taxes,Transient Occupancy Taxes_General Revenues_Taxes,Transient Occupancy Taxes_Total Revenues_Taxes,Franchises_Functional Revenues_Taxes,Franchises_General Revenues_Taxes,Franchises_Total Revenues_Taxes,Business License Taxes_Functional Revenues_Taxes,Business License Taxes_General Revenues_Taxes,Business License Taxes_Total Revenues_Taxes,Real Property Transfer Taxes_Functional Revenues_Taxes,Real Property Transfer Taxes_General Revenues_Taxes,Real Property Transfer Taxes_Total Revenues_Taxes,Utility Users Taxes_Functional Revenues_Taxes,Utility Users Taxes_General Revenues_Taxes,Utility Users Taxes_Total Revenues_Taxes,Construction Development Taxes_Functional Revenues_Taxes,Construction Development Taxes_General Revenues_Taxes,Construction Development Taxes_Total Revenues_Taxes,Admission Tax_Functional Revenues_Taxes – Other,Admission Tax_General Revenues_Taxes – Other,Admission Tax_Total Revenues_Taxes – Other,Parking Tax_Functional Revenues_Taxes – Other,Parking Tax_Total Revenues_Taxes – Other,Employers Payroll Tax_General Revenues_Taxes – Other,Employers Payroll Tax_Total Revenues_Taxes – Other,Other Taxes – Other (Specify)_Functional Revenues_Taxes – Other,Other Taxes – Other (Specify)_General Revenues_Taxes – Other,Other Taxes – Other (Specify)_Total Revenues_Taxes – Other,Total Taxes_Functional Revenues_,Total Taxes_General Revenues_,Total Taxes_Total Revenues_
Menifee,10255,2019,NULL,13549229,13549229,NULL,74427,74427,NULL,6680540,6680540,NULL,NULL,NULL,NULL,NULL,132258,132258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250003,250003,NULL,NULL,NULL,NULL,20384878,20384878,NULL,NULL,1918407,1918407,NULL,238464,238464,NULL,3357585,3357585,NULL,134910,134910,NULL,623801,623801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1918407,45426095,47344502
Menlo Park,1381,2019,NULL,25046664,25046664,NULL,578893,578893,NULL,4944823,4944823,1499253,1499253,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6949775,6949775,NULL,NULL,NULL,NULL,NULL,10296163,10296163,NULL,2181173,2181173,NULL,1734577,1734577,NULL,828003,828003,NULL,1661938,1661938,3540073,NULL,3540073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1044435,1044435,5039326,55266444,60305770
Merced,1382,2019,NULL,6796208,6796208,NULL,234660,234660,NULL,6287317,6287317,NULL,NULL,NULL,NULL,NULL,21011,21011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1060840,1060840,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22143029,22143029,NULL,NULL,NULL,NULL,NULL,2008081,2008081,NULL,1631738,1631738,NULL,1573198,1573198,NULL,266671,266671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1106656,NULL,1106656,1106656,42022753,43129409
Mill Valley,1383,2019,NULL,15524791,15524791,NULL,339287,339287,NULL,1632791,1632791,NULL,NULL,NULL,NULL,NULL,10875,10875,NULL,9785,9785,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9019,9019,NULL,NULL,NULL,NULL,3212775,3212775,NULL,NULL,424989,424989,NULL,1045795,1045795,NULL,1385730,1385730,NULL,499574,499574,NULL,201996,201996,NULL,NULL,NULL,892428,NULL,892428,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1704688,1704688,1317417,25577106,26894523
Millbrae,1384,2019,NULL,5860375,5860375,NULL,247559,247559,NULL,3691283,3691283,649056,649056,NULL,NULL,NULL,1367510,1367510,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3847023,3847023,NULL,NULL,NULL,NULL,NULL,8810889,8810889,NULL,1126418,1126418,NULL,381177,381177,NULL,231309,231309,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177510,177510,NULL,NULL,NULL,NULL,NULL,826566,25563543,26390109
Milpitas,1385,2019,NULL,17520871,17520871,NULL,1052386,1052386,NULL,7257936,7257936,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6388736,6388736,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28889785,28889785,NULL,NULL,NULL,NULL,NULL,14502737,14502737,NULL,5127311,5127311,NULL,337898,337898,NULL,790633,790633,NULL,NULL,NULL,40551853,NULL,40551853,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1591080,1591080,40551853,83459373,124011226
Mission Viejo,1386,2019,NULL,24179990,24179990,NULL,650734,650734,NULL,9297815,9297815,NULL,NULL,NULL,NULL,NULL,138548,138548,NULL,15542,15542,NULL,152018,152018,NULL,709944,709944,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38857,38857,NULL,19735853,19735853,NULL,NULL,1782902,1782902,NULL,1220925,1220925,NULL,2709516,2709516,NULL,NULL,NULL,NULL,570352,570352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1782902,59420094,61202996
Modesto,1387,2019,NULL,15692763,15692763,NULL,379393,379393,NULL,16727676,16727676,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,331062,331062,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30828,30828,NULL,31665700,31665700,NULL,NULL,13095626,13095626,NULL,2961406,2961406,NULL,6393125,6393125,NULL,14270219,14270219,NULL,716467,716467,NULL,19803859,19803859,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,368976,368976,13095626,109341474,122437100
Monrovia,1388,2019,NULL,7798249,7798249,NULL,350078,350078,NULL,4338453,4338453,6733312,6733312,NULL,NULL,NULL,716000,716000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1697742,1697742,NULL,33549,33549,NULL,10579344,10579344,1122006,1122006,1238705,1238705,NULL,2045103,2045103,NULL,927783,927783,NULL,791546,791546,NULL,192535,192535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,481156,739699,1220855,9575179,30210081,39785260
Montague,1389,2019,NULL,153443,153443,NULL,NULL,NULL,NULL,129099,129099,NULL,NULL,NULL,NULL,NULL,2184,2184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,287,287,NULL,70273,70273,35977,35977,16094,16094,NULL,NULL,NULL,NULL,17780,17780,NULL,6783,6783,NULL,2396,2396,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52071,382245,434316
Montclair,1390,2019,NULL,3073023,3073023,NULL,58883,58883,NULL,3671069,3671069,NULL,NULL,NULL,NULL,NULL,51525,51525,NULL,25033,25033,NULL,750000,750000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16552310,16552310,NULL,NULL,737065,737065,NULL,71803,71803,NULL,769813,769813,NULL,802854,802854,NULL,94784,94784,NULL,1693823,1693823,171971,NULL,171971,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,909036,27614920,28523956
Monte Sereno,1391,2019,NULL,1368370,1368370,NULL,93250,93250,NULL,449997,449997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52452,52452,NULL,NULL,NULL,NULL,15516,15516,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,312192,312192,NULL,33580,33580,NULL,71636,71636,NULL,NULL,NULL,7350,NULL,7350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7350,2396993,2404343
Montebello,1392,2019,NULL,4204370,4204370,NULL,NULL,NULL,NULL,6515566,6515566,8871986,8871986,NULL,NULL,-20879,-60613,-81492,NULL,NULL,NULL,176007,NULL,176007,NULL,952892,952892,NULL,NULL,NULL,3739997,368924,4108921,NULL,50472,50472,NULL,14031972,14031972,NULL,NULL,4045374,4045374,NULL,421412,421412,NULL,2224087,2224087,NULL,2372820,2372820,NULL,193073,193073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,506010,506009,1012019,17318495,31780984,49099479
Monterey,1393,2019,NULL,7613771,7613771,NULL,210248,210248,NULL,2916242,2916242,NULL,NULL,NULL,NULL,NULL,109784,109784,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1285267,1285267,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10212984,9044694,19257678,NULL,NULL,NULL,NULL,4267634,22405070,26672704,NULL,1738233,1738233,NULL,3834852,3834852,NULL,180595,180595,NULL,3603923,3603923,5075436,NULL,5075436,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15261,15261,19556054,52957940,72513994
Monterey Park,1394,2019,NULL,9473771,9473771,NULL,NULL,NULL,NULL,7019201,7019201,5709851,5709851,NULL,NULL,NULL,326630,326630,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3226519,3226519,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43245,43245,NULL,7156102,7156102,2117973,2117973,1886041,1886041,NULL,1064049,1064049,NULL,973084,973084,NULL,1160574,1160574,NULL,158828,158828,NULL,3107983,3107983,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9713865,33709986,43423851
Moorpark,1395,2019,NULL,5054125,5054125,NULL,110863,110863,NULL,3769139,3769139,NULL,NULL,NULL,NULL,NULL,4201,4201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,678402,678402,NULL,NULL,NULL,NULL,294288,294288,NULL,NULL,NULL,NULL,4336676,4336676,1877874,1877874,NULL,NULL,NULL,NULL,NULL,NULL,1281901,1281901,NULL,126340,126340,NULL,220700,220700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1877874,15876635,17754509
Moraga,1396,2019,NULL,2284891,2284891,NULL,52519,52519,NULL,1811813,1811813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3132947,3132947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,818886,818886,NULL,NULL,NULL,NULL,145553,145553,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,843370,NULL,843370,843370,8246609,9089979
Moreno Valley,1397,2019,NULL,18670988,18670988,NULL,NULL,NULL,NULL,19577636,19577636,NULL,NULL,NULL,NULL,NULL,14599,14599,NULL,NULL,NULL,NULL,1948864,1948864,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,147266,147266,NULL,25928638,25928638,NULL,NULL,3562,3562,NULL,2433358,2433358,NULL,6585791,6585791,NULL,3046854,3046854,NULL,833082,833082,NULL,15483806,15483806,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6892345,6892345,3562,101563227,101566789
Morgan Hill,1398,2019,NULL,5415983,5415983,NULL,335062,335062,NULL,3916899,3916899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,431688,431688,NULL,1718831,1718831,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10796629,10796629,NULL,NULL,NULL,NULL,NULL,2893133,2893133,NULL,2322186,2322186,NULL,249986,249986,NULL,549247,549247,NULL,NULL,NULL,10376262,NULL,10376262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,943114,943114,10376262,29572758,39949020
Morro Bay,1399,2019,NULL,3309966,3309966,NULL,NULL,NULL,NULL,1109479,1109479,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,14,NULL,267,267,NULL,1945359,1945359,NULL,NULL,NULL,NULL,NULL,4405410,4405410,NULL,528560,528560,NULL,347967,347967,NULL,87089,87089,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1225936,NULL,1225936,1225936,11734111,12960047
Mountain View,1400,2019,NULL,83019486,83019486,NULL,1719918,1719918,NULL,10682397,10682397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1290,-1290,NULL,25057747,25057747,NULL,NULL,NULL,NULL,NULL,7050530,7050530,NULL,5293472,5293472,NULL,261544,261544,NULL,10378052,10378052,NULL,7849641,7849641,NULL,35474,35474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,855631,0,855631,855631,151346971,152202602
Mt. Shasta,1401,2019,NULL,550975,550975,NULL,NULL,NULL,NULL,311365,311365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1579390,1579390,NULL,NULL,39565,39565,NULL,821454,821454,NULL,69829,69829,NULL,80512,80512,NULL,14322,14322,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39565,3427847,3467412
Murrieta,1402,2019,10449526,9672438,20121964,104527,91770,196297,NULL,8242860,8242860,NULL,NULL,NULL,NULL,326711,286698,613409,NULL,NULL,NULL,NULL,NULL,NULL,718462,NULL,718462,NULL,NULL,NULL,NULL,NULL,NULL,2140,1372,3512,NULL,23410479,23410479,NULL,NULL,2675677,2675677,NULL,1377892,1377892,NULL,5600785,5600785,NULL,779247,779247,NULL,604380,604380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,136015,137001,273016,14413058,50204922,64617980
Napa,1403,2019,NULL,24323788,24323788,NULL,372595,372595,NULL,8560366,8560366,2655211,2655211,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1451461,1451461,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18152539,18152539,NULL,NULL,NULL,NULL,NULL,22656733,22656733,NULL,2018853,2018853,NULL,3863085,3863085,NULL,543290,543290,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,2655211,81942710,84597921
National City,1404,2019,NULL,3769392,3769392,NULL,200965,200965,NULL,6711110,6711110,371979,371979,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,484514,484514,NULL,18282,18282,NULL,31709630,31709630,NULL,NULL,1296000,1296000,NULL,1774843,1774843,NULL,2311253,2311253,NULL,512519,512519,NULL,213257,213257,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15398,NULL,15398,1683377,47705765,49389142
Needles,1405,2019,NULL,1303700,1303700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,494193,494193,NULL,NULL,NULL,NULL,NULL,863435,863435,NULL,182358,182358,NULL,NULL,NULL,NULL,12134,12134,NULL,229426,229426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1249445,1249445,0,4334691,4334691
Nevada City,1406,2019,NULL,1280107,1280107,NULL,12918,12918,NULL,296072,296072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2091,2091,NULL,NULL,NULL,NULL,1164086,1164086,NULL,NULL,668532,668532,NULL,394861,394861,NULL,161282,161282,NULL,68750,68750,NULL,17953,17953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,698802,698802,668532,4096922,4765454
Newark,1407,2019,NULL,15393418,15393418,NULL,455729,455729,NULL,4664797,4664797,NULL,NULL,NULL,NULL,NULL,137225,137225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48614,48614,NULL,19040583,19040583,NULL,NULL,NULL,NULL,NULL,6717286,6717286,NULL,3970458,3970458,NULL,1535244,1535244,NULL,626539,626539,NULL,3289168,3289168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2093134,NULL,2093134,2093134,55879061,57972195
Newman,1408,2019,NULL,668203,668203,NULL,13474,13474,NULL,882207,882207,NULL,NULL,NULL,NULL,NULL,7317,7317,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,600615,600615,23200,23200,730300,730300,NULL,NULL,NULL,NULL,308122,308122,NULL,35781,35781,NULL,33159,33159,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,753500,2548878,3302378
Newport Beach,1409,2019,NULL,93260377,93260377,NULL,2575241,2575241,NULL,9917809,9917809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1872432,1872432,NULL,NULL,NULL,NULL,NULL,NULL,NULL,241958,241958,NULL,38502469,38502469,NULL,NULL,2125054,2125054,NULL,24697446,24697446,NULL,4286496,4286496,NULL,4428440,4428440,NULL,2339733,2339733,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,273107,NULL,273107,2398161,182122401,184520562
Norco,1410,2019,NULL,1470063,1470063,NULL,14461,14461,NULL,2593770,2593770,NULL,NULL,NULL,NULL,NULL,42058,42058,NULL,NULL,NULL,NULL,567591,567591,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9009174,9009174,NULL,NULL,NULL,NULL,NULL,609036,609036,NULL,1674490,1674490,NULL,363116,363116,NULL,127953,127953,NULL,NULL,NULL,2862092,NULL,2862092,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2862092,16471712,19333804
Norwalk,1411,2019,NULL,7082294,7082294,NULL,120778,120778,NULL,11646200,11646200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,640659,640659,NULL,NULL,NULL,NULL,12492890,12492890,NULL,NULL,5721246,5721246,NULL,1672320,1672320,NULL,3011175,3011175,NULL,911424,911424,NULL,231243,231243,NULL,4461942,4461942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1568747,NULL,1568747,7289993,42270925,49560918
Novato,1412,2019,NULL,7432276,7432276,NULL,182080,182080,NULL,5092973,5092973,2164735,2164735,27055,27055,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2164735,2164735,NULL,NULL,NULL,20871,12770047,12790918,NULL,NULL,597496,597496,NULL,1821003,1821003,NULL,1620150,1620150,NULL,1152050,1152050,NULL,360057,360057,NULL,NULL,NULL,NULL,6360,6360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49436,136164,185600,2859593,32737895,35597488
Oakdale,1413,2019,NULL,1621731,1621731,NULL,92149,92149,NULL,1678356,1678356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41757,41757,NULL,242421,242421,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5458285,5458285,NULL,NULL,1118634,1118634,NULL,322494,322494,NULL,1033371,1033371,NULL,174227,174227,NULL,115010,115010,NULL,NULL,NULL,1310142,NULL,1310142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,2428776,10779801,13208577
Oakland,1414,2019,NULL,126370208,126370208,NULL,3237378,3237378,NULL,46546747,46546747,145191802,145191802,NULL,NULL,NULL,1512380,1512380,NULL,6561894,6561894,NULL,NULL,NULL,NULL,24355741,24355741,NULL,NULL,NULL,NULL,2113040,2113040,NULL,1004597,1004597,NULL,58434115,58434115,NULL,NULL,30264991,30264991,NULL,33004160,33004160,NULL,19340117,19340117,NULL,99733123,99733123,NULL,104904997,104904997,NULL,49598702,49598702,NULL,186900,186900,NULL,NULL,NULL,21726266,21726266,NULL,NULL,46716234,NULL,46716234,243899293,576904099,820803392
Oakley,1415,2019,NULL,3420816,3420816,NULL,NULL,NULL,NULL,3214174,3214174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2040960,2040960,NULL,NULL,706375,706375,NULL,269504,269504,NULL,1773997,1773997,NULL,166086,166086,NULL,257564,257564,NULL,NULL,NULL,3189302,NULL,3189302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3895677,11143101,15038778
Oceanside,1416,2019,NULL,42585364,42585364,NULL,1065012,1065012,NULL,18438077,18438077,NULL,NULL,NULL,NULL,NULL,94605,94605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1686013,1686013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14010,14010,NULL,33189716,33189716,NULL,NULL,NULL,NULL,NULL,8509768,8509768,NULL,4271004,4271004,NULL,3570734,3570734,NULL,1087132,1087132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1179829,NULL,1179829,1179829,114511435,115691264
Ojai,1417,2019,NULL,1656129,1656129,NULL,35715,35715,NULL,870286,870286,NULL,NULL,NULL,NULL,NULL,1049,1049,NULL,NULL,NULL,NULL,48132,48132,NULL,204802,204802,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5189,5189,NULL,1622394,1622394,NULL,NULL,798,798,NULL,3713450,3713450,NULL,336179,336179,NULL,242126,242126,NULL,114617,114617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,798,8850068,8850866
Ontario,1418,2019,NULL,32294484,32294484,NULL,NULL,NULL,NULL,18621838,18621838,NULL,NULL,NULL,NULL,NULL,275397,275397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8359679,8359679,NULL,NULL,NULL,NULL,195218,195218,NULL,639280,639280,NULL,92346315,92346315,NULL,NULL,3323670,3323670,NULL,14945483,14945483,NULL,3420656,3420656,NULL,7786821,7786821,NULL,1271021,1271021,NULL,NULL,NULL,69341310,NULL,69341310,NULL,NULL,NULL,3235108,3235108,NULL,NULL,NULL,1041991,1041991,75900088,181198183,257098271
Orange,1419,2019,NULL,23663183,23663183,NULL,649370,649370,NULL,13656544,13656544,NULL,NULL,NULL,NULL,NULL,170111,170111,NULL,NULL,NULL,NULL,518527,518527,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3698667,3698667,NULL,28013,28013,NULL,48304886,48304886,NULL,NULL,2964925,2964925,NULL,5399992,5399992,NULL,2821430,2821430,NULL,3087300,3087300,NULL,751116,751116,NULL,NULL,NULL,4919155,NULL,4919155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7884080,102749139,110633219
Orange Cove,1420,2019,NULL,248070,248070,NULL,NULL,NULL,NULL,836086,836086,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2122,2122,NULL,NULL,NULL,NULL,41947,41947,NULL,NULL,283451,283451,NULL,NULL,NULL,NULL,68011,68011,NULL,18735,18735,NULL,NULL,NULL,NULL,217557,217557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112491,NULL,112491,395942,1432528,1828470
Orinda,1421,2019,NULL,5132064,5132064,NULL,117137,117137,NULL,2118227,2118227,2417258,2417258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,970510,NULL,970510,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2277395,2277395,NULL,NULL,1196255,1196255,NULL,79128,79128,NULL,1127003,1127003,NULL,NULL,NULL,NULL,301824,301824,NULL,NULL,NULL,733651,NULL,733651,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5317674,11152778,16470452
